Qualidade dos Dados:      Aprovado         Suspeito         Reprovado         Fora do Limite         Não Verificado              Régua Seca         Régua Coberta         Rio Seco         Rio Cortado        Temperatura Interna / Status da Bateria:        Normal           Atenção           Crítico         Não Verificado,,,,,
Estação: 5 - 85900000 - RIO PARDO,,,,,
Data/Hora,Chuva Horária (mm),Nível adotado (cm),Vazão (m³/s),Bateria (V),Temp. Interna (ºC)
03/05/2024 16:45:00,,,,12.80,18.20
03/05/2024 16:30:00,,,,12.80,18.20
03/05/2024 16:15:00,,,,12.80,18.20
03/05/2024 16:00:00,,,,12.80,18.20
03/05/2024 15:45:00,0.00,1768.00,,12.90,18.20
03/05/2024 15:30:00,0.00,1763.00,,12.90,18.20
03/05/2024 15:15:00,0.00,1761.00,,12.90,18.20
03/05/2024 15:00:00,0.00,1759.00,,12.90,18.20
03/05/2024 14:45:00,0.00,1756.00,,13.00,18.20
03/05/2024 14:30:00,0.00,1751.00,,13.00,18.20
03/05/2024 14:15:00,0.00,1749.00,,13.00,18.20
03/05/2024 14:00:00,0.00,1751.00,,13.00,18.20
03/05/2024 13:45:00,0.00,1747.00,,13.10,17.90
03/05/2024 13:30:00,0.00,1745.00,,13.10,17.90
03/05/2024 13:15:00,0.00,1743.00,,13.10,17.90
03/05/2024 13:00:00,0.00,1746.00,,13.10,17.90
03/05/2024 12:45:00,0.00,1736.00,,13.10,17.70
03/05/2024 12:30:00,0.00,1732.00,,13.10,17.70
03/05/2024 12:15:00,0.00,1723.00,,13.10,17.70
03/05/2024 12:00:00,0.00,1723.00,,13.10,17.70
03/05/2024 11:45:00,0.00,1719.00,,12.90,17.40
03/05/2024 11:30:00,0.00,1718.00,,12.90,17.40
03/05/2024 11:15:00,0.00,1714.00,,12.90,17.40
03/05/2024 11:00:00,0.00,1711.00,,12.90,17.40
03/05/2024 10:45:00,0.00,1706.00,,12.70,17.10
03/05/2024 10:30:00,0.00,1701.00,,12.70,17.10
03/05/2024 10:15:00,0.00,1698.00,9625.31,12.70,17.10
03/05/2024 10:00:00,0.00,1697.00,9613.59,12.70,17.10
03/05/2024 09:45:00,0.00,1695.00,9590.17,12.50,16.50
03/05/2024 09:30:00,0.00,1692.00,9555.09,12.50,16.50
03/05/2024 09:15:00,0.00,,,12.50,16.50
03/05/2024 09:00:00,0.00,,,12.50,16.50
03/05/2024 08:45:00,0.00,,,12.50,16.30
03/05/2024 08:30:00,0.00,,,12.50,16.30
03/05/2024 08:15:00,0.00,,,12.50,16.30
03/05/2024 08:00:00,0.00,,,12.50,16.30
03/05/2024 07:45:00,0.00,,,12.50,16.30
03/05/2024 07:30:00,0.00,,,12.50,16.30
03/05/2024 07:15:00,0.00,,,12.50,16.30
03/05/2024 07:00:00,0.00,,,12.50,16.30
03/05/2024 06:45:00,0.00,,,12.50,16.40
03/05/2024 06:30:00,0.00,,,12.50,16.40
03/05/2024 06:15:00,0.00,,,12.50,16.40
03/05/2024 06:00:00,0.20,,,12.50,16.40
03/05/2024 05:45:00,0.00,,,12.50,16.50
03/05/2024 05:30:00,0.00,,,12.50,16.50
03/05/2024 05:15:00,0.00,,,12.50,16.50
03/05/2024 05:00:00,0.00,,,12.50,16.50
03/05/2024 04:45:00,0.00,,,12.50,16.70
03/05/2024 04:30:00,0.00,,,12.50,16.70
03/05/2024 04:15:00,0.20,,,12.50,16.70
03/05/2024 04:00:00,0.00,,,12.50,16.70
03/05/2024 03:45:00,0.00,,,12.50,16.90
03/05/2024 03:30:00,0.00,,,12.50,16.90
03/05/2024 03:15:00,0.20,,,12.50,16.90
03/05/2024 03:00:00,0.40,,,12.50,16.90
03/05/2024 02:45:00,0.00,,,12.50,17.10
03/05/2024 02:30:00,0.00,,,12.50,17.10
03/05/2024 02:15:00,0.20,,,12.50,17.10
03/05/2024 02:00:00,0.00,,,12.50,17.10
03/05/2024 01:45:00,0.00,,,12.50,17.40
03/05/2024 01:30:00,0.20,,,12.50,17.40
03/05/2024 01:15:00,0.00,,,12.50,17.40
03/05/2024 01:00:00,0.00,,,12.50,17.40
03/05/2024 00:45:00,0.00,,,12.50,17.70
03/05/2024 00:30:00,0.00,,,12.50,17.70
03/05/2024 00:15:00,0.20,,,12.50,17.70
03/05/2024 00:00:00,0.00,,,12.50,17.70
02/05/2024 23:45:00,0.20,,,12.50,18.40
02/05/2024 23:30:00,0.00,,,12.50,18.40
02/05/2024 23:15:00,0.00,,,12.50,18.40
