Qualidade dos Dados:      Aprovado         Suspeito         Reprovado         Fora do Limite         Não Verificado              Régua Seca         Régua Coberta         Rio Seco         Rio Cortado        Temperatura Interna / Status da Bateria:        Normal           Atenção           Crítico         Não Verificado,,,,,
Estação: 5 - 86881000 - BOM RETIRO DO SUL,,,,,
Data/Hora,Chuva Horária (mm),Nível adotado (cm),Vazão (m³/s),Bateria (V),Temp. Interna (ºC)
03/05/2024 17:30:00,,,,12.40,19.70
03/05/2024 17:15:00,,,,12.40,19.70
03/05/2024 17:00:00,,,,12.40,19.70
03/05/2024 16:45:00,,,,12.40,19.70
03/05/2024 16:30:00,0.00,2051.00,,12.50,19.70
03/05/2024 16:15:00,0.00,2053.00,,12.50,19.70
03/05/2024 16:00:00,0.00,2055.00,,12.50,19.70
03/05/2024 15:45:00,0.00,2057.00,,12.50,19.70
03/05/2024 15:30:00,0.00,2060.00,,12.80,19.70
03/05/2024 15:15:00,0.00,2062.00,,12.80,19.70
03/05/2024 15:00:00,0.00,2064.00,,12.80,19.70
03/05/2024 14:45:00,0.20,2066.00,,12.80,19.70
03/05/2024 14:30:00,0.00,2068.00,,12.50,19.70
03/05/2024 14:15:00,0.00,2070.00,,12.50,19.70
03/05/2024 14:00:00,0.00,2073.00,,12.50,19.70
03/05/2024 13:45:00,0.00,2075.00,,12.50,19.70
03/05/2024 13:30:00,0.00,2077.00,,12.50,19.70
03/05/2024 13:15:00,0.00,2079.00,,12.50,19.70
03/05/2024 13:00:00,0.00,2081.00,,12.50,19.70
03/05/2024 12:45:00,0.00,2083.00,,12.50,19.70
03/05/2024 12:30:00,0.00,2085.00,,12.50,19.70
03/05/2024 12:15:00,0.00,2087.00,,12.50,19.70
03/05/2024 12:00:00,0.00,2089.00,,12.50,19.70
03/05/2024 11:45:00,0.00,2091.00,,12.50,19.70
03/05/2024 11:30:00,0.00,2093.00,,12.60,19.60
03/05/2024 11:15:00,0.00,2094.00,,12.60,19.60
03/05/2024 11:00:00,0.00,2096.00,,12.60,19.60
03/05/2024 10:45:00,0.00,2098.00,,12.60,19.60
03/05/2024 10:30:00,0.20,2101.00,,12.20,19.60
03/05/2024 10:15:00,0.00,2102.00,,12.20,19.60
03/05/2024 10:00:00,0.00,2104.00,,12.20,19.60
03/05/2024 09:45:00,0.20,2106.00,,12.20,19.60
03/05/2024 09:30:00,0.00,2108.00,,12.30,19.60
03/05/2024 09:15:00,0.00,2109.00,,12.30,19.60
03/05/2024 09:00:00,0.00,2111.00,,12.30,19.60
03/05/2024 08:45:00,0.00,2113.00,,12.30,19.60
03/05/2024 08:30:00,0.00,2115.00,,12.10,19.60
03/05/2024 08:15:00,0.00,2117.00,,12.10,19.60
03/05/2024 08:00:00,0.00,2118.00,,12.10,19.60
03/05/2024 07:45:00,0.20,2120.00,,12.10,19.60
03/05/2024 07:30:00,0.00,2121.00,,12.10,19.70
03/05/2024 07:15:00,0.00,2123.00,,12.10,19.70
03/05/2024 07:00:00,0.00,2125.00,,12.10,19.70
03/05/2024 06:45:00,0.00,2126.00,,12.10,19.70
03/05/2024 06:30:00,0.00,2128.00,,12.10,19.70
03/05/2024 06:15:00,0.00,2130.00,,12.10,19.70
03/05/2024 06:00:00,0.20,2131.00,,12.10,19.70
03/05/2024 05:45:00,0.00,2132.00,,12.10,19.70
03/05/2024 05:30:00,0.00,2134.00,,12.10,19.80
03/05/2024 05:15:00,0.00,2135.00,,12.10,19.80
03/05/2024 05:00:00,0.00,2136.00,,12.10,19.80
03/05/2024 04:45:00,0.00,2138.00,,12.10,19.80
03/05/2024 04:30:00,0.00,2139.00,,12.20,20.10
03/05/2024 04:15:00,0.00,2141.00,,12.20,20.10
03/05/2024 04:00:00,0.20,2142.00,,12.20,20.10
03/05/2024 03:45:00,0.00,2143.00,,12.20,20.10
03/05/2024 03:30:00,0.20,2144.00,,12.10,20.20
03/05/2024 03:15:00,0.00,2145.00,,12.10,20.20
03/05/2024 03:00:00,0.00,2147.00,,12.10,20.20
03/05/2024 02:45:00,0.00,2148.00,,12.10,20.20
03/05/2024 02:30:00,0.00,2149.00,,12.10,20.30
03/05/2024 02:15:00,0.00,2150.00,,12.10,20.30
03/05/2024 02:00:00,0.00,2151.00,,12.10,20.30
03/05/2024 01:45:00,0.00,2152.00,,12.10,20.30
03/05/2024 01:30:00,0.00,2154.00,,12.10,20.40
03/05/2024 01:15:00,0.00,2155.00,,12.10,20.40
03/05/2024 01:00:00,0.00,2156.00,,12.10,20.40
03/05/2024 00:45:00,0.00,2157.00,,12.10,20.40
03/05/2024 00:30:00,0.00,2158.00,,12.10,20.60
03/05/2024 00:15:00,0.00,2160.00,,12.10,20.60
03/05/2024 00:00:00,0.20,2161.00,,12.10,20.60
02/05/2024 23:45:00,0.00,2161.00,,12.10,20.60
02/05/2024 23:30:00,0.00,2162.00,,12.10,20.70
02/05/2024 23:15:00,0.00,2163.00,,12.10,20.70
02/05/2024 23:00:00,0.20,2164.00,,12.10,20.70
02/05/2024 22:45:00,0.00,2165.00,,12.10,20.70
02/05/2024 22:30:00,0.20,2166.00,,12.20,20.90
02/05/2024 22:15:00,0.00,2166.00,,12.20,20.90
02/05/2024 22:00:00,0.00,2167.00,,12.20,20.90
02/05/2024 21:45:00,0.00,2168.00,,12.20,20.90
02/05/2024 21:30:00,0.00,2169.00,,12.10,21.00
02/05/2024 21:15:00,0.00,2169.00,,12.10,21.00
02/05/2024 21:00:00,0.00,2170.00,,12.10,21.00
02/05/2024 20:45:00,0.00,2171.00,,12.10,21.00
02/05/2024 20:30:00,0.00,2171.00,,12.10,21.20
