Qualidade dos Dados:      Aprovado         Suspeito         Reprovado         Fora do Limite         Não Verificado              Régua Seca         Régua Coberta         Rio Seco         Rio Cortado        Temperatura Interna / Status da Bateria:        Normal           Atenção           Crítico         Não Verificado,,,,,
Estação: 5 - 86950000 - TAQUARI,,,,,
Data/Hora,Chuva Horária (mm),Nível adotado (cm),Vazão (m³/s),Bateria (V),Temp. Interna (ºC)
02/05/2024 08:45:00,0.00,1376.00,,12.60,20.70
02/05/2024 08:30:00,0.00,1372.00,,12.60,20.70
02/05/2024 08:15:00,0.00,1367.00,,12.60,20.70
02/05/2024 08:00:00,0.00,1362.00,,12.60,20.70
02/05/2024 07:45:00,0.00,1357.00,,12.60,20.60
02/05/2024 07:30:00,0.00,1352.00,,12.60,20.60
02/05/2024 07:15:00,0.00,1347.00,,12.60,20.60
02/05/2024 07:00:00,0.00,1343.00,,12.60,20.60
02/05/2024 06:45:00,0.00,1338.00,,12.60,20.60
02/05/2024 06:30:00,0.00,1333.00,,12.60,20.60
02/05/2024 06:15:00,0.00,1328.00,,12.60,20.60
02/05/2024 06:00:00,0.00,1323.00,,12.60,20.60
02/05/2024 05:45:00,0.00,1314.00,,12.60,20.50
02/05/2024 05:30:00,0.00,1309.00,,12.60,20.50
02/05/2024 05:15:00,0.00,1305.00,,12.60,20.50
02/05/2024 05:00:00,0.00,1300.00,,12.60,20.50
02/05/2024 04:45:00,0.00,1300.00,,12.60,20.30
02/05/2024 04:30:00,0.20,1296.00,,12.60,20.30
02/05/2024 04:15:00,0.40,1292.00,,12.60,20.30
02/05/2024 04:00:00,0.60,1287.00,,12.60,20.30
02/05/2024 03:45:00,0.60,1282.00,,12.60,20.20
02/05/2024 03:30:00,1.20,1278.00,,12.60,20.20
02/05/2024 03:15:00,1.00,1274.00,,12.60,20.20
02/05/2024 03:00:00,1.60,1270.00,,12.60,20.20
02/05/2024 02:45:00,1.00,1265.00,,12.60,20.10
02/05/2024 02:30:00,1.20,1261.00,,12.60,20.10
02/05/2024 02:15:00,1.20,1257.00,,12.60,20.10
02/05/2024 02:00:00,1.20,1253.00,,12.60,20.10
02/05/2024 01:45:00,2.00,1249.00,,12.60,20.10
02/05/2024 01:30:00,7.40,1245.00,,12.60,20.10
02/05/2024 01:15:00,4.00,1241.00,,12.60,20.10
02/05/2024 01:00:00,5.60,1236.00,,12.60,20.10
02/05/2024 00:45:00,2.20,1233.00,,12.60,20.10
02/05/2024 00:30:00,0.80,1229.00,,12.60,20.10
02/05/2024 00:15:00,1.00,1226.00,,12.60,20.10
02/05/2024 00:00:00,0.20,1222.00,,12.60,20.10
01/05/2024 23:45:00,0.40,1219.00,,12.60,20.10
01/05/2024 23:30:00,2.00,1215.00,,12.60,20.10
01/05/2024 23:15:00,0.00,1212.00,,12.60,20.10
01/05/2024 23:00:00,0.00,1208.00,,12.60,20.10
01/05/2024 22:45:00,0.80,1205.00,,12.60,20.20
