Qualidade dos Dados:      Aprovado         Suspeito         Reprovado         Fora do Limite         Não Verificado              Régua Seca         Régua Coberta         Rio Seco         Rio Cortado        Temperatura Interna / Status da Bateria:        Normal           Atenção           Crítico         Não Verificado,,,,,
Estação: 5 - 87010000 - TRIUNFO,,,,,
Data/Hora,Chuva Horária (mm),Nível adotado (cm),Vazão (m³/s),Bateria (V),Temp. Interna (ºC)
27/04/2024 01:15:00,0.00,163.00,,21.30,22.30
27/04/2024 01:00:00,0.00,163.00,,21.30,22.30
27/04/2024 00:45:00,,163.00,,21.30,22.30
27/04/2024 00:30:00,,,,21.30,22.30
26/04/2024 18:15:00,0.00,154.00,,24.30,22.30
26/04/2024 18:00:00,0.00,154.00,,24.30,22.30
26/04/2024 17:45:00,,154.00,,24.30,22.30
26/04/2024 17:30:00,,,,24.30,22.30
26/04/2024 14:15:00,0.00,154.00,,22.40,22.30
26/04/2024 14:00:00,0.00,155.00,,22.40,22.30
26/04/2024 13:45:00,,155.00,,22.40,22.30
26/04/2024 13:30:00,,,,22.40,22.30
26/04/2024 13:15:00,0.00,155.00,,22.50,22.30
26/04/2024 13:00:00,0.00,156.00,,22.50,22.30
26/04/2024 12:45:00,,156.00,,22.50,22.30
26/04/2024 12:30:00,,,,22.50,22.30
26/04/2024 12:15:00,0.20,156.00,,22.80,22.30
26/04/2024 12:00:00,0.00,157.00,,22.80,22.30
26/04/2024 11:45:00,,157.00,,22.80,22.30
26/04/2024 11:30:00,,,,22.80,22.30
26/04/2024 11:15:00,0.00,158.00,,21.60,22.30
26/04/2024 11:00:00,0.20,158.00,,21.60,22.30
26/04/2024 10:45:00,,159.00,,21.60,22.30
26/04/2024 10:30:00,,,,21.60,22.30
26/04/2024 10:15:00,0.00,159.00,,20.10,22.30
26/04/2024 10:00:00,0.00,159.00,,20.10,22.30
26/04/2024 09:45:00,,160.00,,20.10,22.30
26/04/2024 09:30:00,,,,20.10,22.30
26/04/2024 09:15:00,0.00,161.00,,19.50,22.30
26/04/2024 09:00:00,0.00,161.00,,19.50,22.30
26/04/2024 08:45:00,,162.00,,19.50,22.30
26/04/2024 08:30:00,,,,19.50,22.30
