Qualidade dos Dados:      Aprovado         Suspeito         Reprovado         Fora do Limite         Não Verificado              Régua Seca         Régua Coberta         Rio Seco         Rio Cortado        Temperatura Interna / Status da Bateria:        Normal           Atenção           Crítico         Não Verificado,,,,,
Estação: 5 - 87230000 - COSTA DO RIO CADEIA,,,,,
Data/Hora,Chuva Horária (mm),Nível adotado (cm),Vazão (m³/s),Bateria (V),Temp. Interna (ºC)
03/05/2024 17:15:00,,,,12.80,18.80
03/05/2024 17:00:00,,,,12.80,18.80
03/05/2024 16:45:00,,,,12.80,18.80
03/05/2024 16:30:00,0.00,1080.00,261.70,12.90,18.80
03/05/2024 16:15:00,0.00,1083.00,263.13,12.90,18.80
03/05/2024 16:00:00,0.00,1084.00,263.61,12.90,18.80
03/05/2024 15:45:00,0.00,1089.00,266.00,12.90,18.80
03/05/2024 15:30:00,0.00,1092.00,267.43,13.00,18.60
03/05/2024 15:15:00,0.00,1093.00,267.91,13.00,18.60
03/05/2024 15:00:00,0.00,1093.00,267.91,13.00,18.60
03/05/2024 14:45:00,0.00,1095.00,268.87,13.00,18.60
03/05/2024 14:30:00,0.00,1100.00,271.27,12.90,18.60
03/05/2024 14:15:00,0.00,1101.00,271.75,12.90,18.60
03/05/2024 14:00:00,0.00,1103.00,272.72,12.90,18.60
03/05/2024 13:45:00,0.00,1105.00,273.68,12.90,18.60
03/05/2024 13:30:00,0.00,1108.00,275.13,13.10,18.50
03/05/2024 13:15:00,0.00,1109.00,275.61,13.10,18.50
03/05/2024 13:00:00,0.00,1112.00,277.06,13.10,18.50
03/05/2024 12:45:00,0.00,1115.00,278.52,13.10,18.50
03/05/2024 12:30:00,0.00,1116.00,279.00,13.00,17.90
03/05/2024 12:15:00,0.00,1117.00,279.49,13.00,17.90
03/05/2024 12:00:00,0.00,1119.00,280.46,13.00,17.90
03/05/2024 11:45:00,0.00,1123.00,282.41,13.00,17.90
03/05/2024 11:30:00,0.00,1123.00,282.41,13.00,17.70
03/05/2024 11:15:00,0.00,1127.00,284.36,13.00,17.70
03/05/2024 11:00:00,0.00,1128.00,284.85,13.00,17.70
03/05/2024 10:45:00,0.00,1131.00,286.31,13.00,17.70
