Qualidade dos Dados:      Aprovado         Suspeito         Reprovado         Fora do Limite         Não Verificado              Régua Seca         Régua Coberta         Rio Seco         Rio Cortado        Temperatura Interna / Status da Bateria:        Normal           Atenção           Crítico         Não Verificado,,,,,
Estação: 5 - 87380000 - CAMPO BOM,,,,,
Data/Hora,Chuva Horária (mm),Nível adotado (cm),Vazão (m³/s),Bateria (V),Temp. Interna (ºC)
03/05/2024 17:00:00,,,,12.60,21.80
03/05/2024 16:45:00,,,,12.60,21.80
03/05/2024 16:30:00,,,,12.60,21.80
03/05/2024 16:15:00,,,,12.60,21.80
03/05/2024 16:00:00,0.00,850.00,762.99,12.80,21.60
03/05/2024 15:45:00,0.00,850.00,762.99,12.80,21.60
03/05/2024 15:30:00,0.00,850.00,762.99,12.80,21.60
03/05/2024 15:15:00,0.00,849.00,760.25,12.80,21.60
03/05/2024 15:00:00,0.00,848.00,757.52,12.60,21.40
03/05/2024 14:45:00,0.00,848.00,757.52,12.60,21.40
03/05/2024 14:30:00,0.00,848.00,757.52,12.60,21.40
03/05/2024 14:15:00,0.00,847.00,754.80,12.60,21.40
03/05/2024 14:00:00,0.00,847.00,754.80,12.90,21.20
03/05/2024 13:45:00,0.00,846.00,752.08,12.90,21.20
03/05/2024 13:30:00,0.00,846.00,752.08,12.90,21.20
03/05/2024 13:15:00,0.00,845.00,749.36,12.90,21.20
03/05/2024 13:00:00,0.00,845.00,749.36,12.90,21.00
03/05/2024 12:45:00,0.00,844.00,746.65,12.90,21.00
03/05/2024 12:30:00,0.00,843.00,743.95,12.90,21.00
03/05/2024 12:15:00,0.00,842.00,741.25,12.90,21.00
03/05/2024 12:00:00,0.00,842.00,741.25,12.90,20.70
03/05/2024 11:45:00,0.00,841.00,738.56,12.90,20.70
03/05/2024 11:30:00,0.00,841.00,738.56,12.90,20.70
03/05/2024 11:15:00,0.00,840.00,735.88,12.90,20.70
03/05/2024 11:00:00,0.00,839.00,733.20,12.70,20.40
03/05/2024 10:45:00,0.00,839.00,733.20,12.70,20.40
