Qualidade dos Dados:      Aprovado         Suspeito         Reprovado         Fora do Limite         Não Verificado              Régua Seca         Régua Coberta         Rio Seco         Rio Cortado        Temperatura Interna / Status da Bateria:        Normal           Atenção           Crítico         Não Verificado,,,,,
Estação: 5 - 87382000 - SÃO LEOPOLDO,,,,,
Data/Hora,Chuva Horária (mm),Nível adotado (cm),Vazão (m³/s),Bateria (V),Temp. Interna (ºC)
03/05/2024 17:15:00,,,,13.00,19.90
03/05/2024 17:00:00,,,,13.00,19.90
03/05/2024 16:45:00,,,,13.00,19.90
03/05/2024 16:30:00,,,,13.00,19.90
03/05/2024 16:15:00,0.00,763.00,1661.96,13.20,20.00
03/05/2024 16:00:00,0.00,758.00,1635.39,13.20,20.00
03/05/2024 15:45:00,0.00,757.00,1630.10,13.20,20.00
03/05/2024 15:30:00,0.00,758.00,1635.39,13.20,20.00
03/05/2024 15:15:00,0.00,760.00,1645.99,13.30,19.50
03/05/2024 15:00:00,0.00,757.00,1630.10,13.30,19.50
03/05/2024 14:45:00,0.00,753.00,1609.02,13.30,19.50
03/05/2024 14:30:00,0.00,752.00,1603.77,13.30,19.50
03/05/2024 14:15:00,0.00,754.00,1614.28,13.30,19.50
03/05/2024 14:00:00,0.00,752.00,1603.77,13.30,19.50
03/05/2024 13:45:00,0.00,748.00,1582.86,13.30,19.50
03/05/2024 13:30:00,0.00,744.00,1562.08,13.30,19.50
03/05/2024 13:15:00,0.00,742.00,1551.73,13.30,19.20
03/05/2024 13:00:00,0.00,741.00,1546.58,13.30,19.20
03/05/2024 12:45:00,0.00,742.00,1551.73,13.30,19.20
03/05/2024 12:30:00,0.00,739.00,1536.28,13.30,19.20
03/05/2024 12:15:00,0.00,738.00,1531.15,13.30,19.00
03/05/2024 12:00:00,0.00,739.00,1536.28,13.30,19.00
03/05/2024 11:45:00,0.00,739.00,1536.28,13.30,19.00
03/05/2024 11:30:00,0.00,736.00,1520.91,13.30,19.00
03/05/2024 11:15:00,0.00,731.00,1495.44,13.30,18.60
03/05/2024 11:00:00,0.00,728.00,1480.27,13.30,18.60
03/05/2024 10:45:00,0.00,728.00,1480.27,13.30,18.60
03/05/2024 10:30:00,0.00,730.00,1490.38,13.30,18.60
03/05/2024 10:15:00,0.00,724.00,1460.14,12.80,18.10
03/05/2024 10:00:00,0.00,720.00,1440.15,12.80,18.10
03/05/2024 09:45:00,0.00,721.00,1445.14,12.80,18.10
03/05/2024 09:30:00,0.00,722.00,1450.13,12.80,18.10
03/05/2024 09:15:00,0.00,720.00,1440.15,12.70,17.90
03/05/2024 09:00:00,0.00,718.00,1430.21,12.70,17.90
03/05/2024 08:45:00,0.20,714.00,1410.42,12.70,17.90
03/05/2024 08:30:00,0.00,712.00,1400.57,12.70,17.90
03/05/2024 08:15:00,0.00,710.00,,12.70,17.70
03/05/2024 08:00:00,0.00,708.00,,12.70,17.70
03/05/2024 07:45:00,0.00,705.00,,12.70,17.70
03/05/2024 07:30:00,0.00,704.00,,12.70,17.70
03/05/2024 07:15:00,0.00,705.00,,12.70,17.70
03/05/2024 07:00:00,0.00,701.00,,12.70,17.70
03/05/2024 06:45:00,0.00,700.00,1342.19,12.70,17.70
03/05/2024 06:30:00,0.00,708.00,,12.70,17.70
03/05/2024 06:15:00,0.20,702.00,,12.70,17.80
03/05/2024 06:00:00,0.00,699.00,1337.38,12.70,17.80
03/05/2024 05:45:00,0.00,696.00,1322.99,12.70,17.80
03/05/2024 05:30:00,0.00,695.00,1318.22,12.70,17.80
03/05/2024 05:15:00,0.20,696.00,1322.99,12.70,18.00
03/05/2024 05:00:00,0.00,695.00,1318.22,12.70,18.00
03/05/2024 04:45:00,0.00,694.00,1313.45,12.70,18.00
03/05/2024 04:30:00,0.00,691.00,1299.19,12.70,18.00
03/05/2024 04:15:00,0.20,688.00,1285.00,12.70,18.10
03/05/2024 04:00:00,0.00,686.00,1275.59,12.70,18.10
03/05/2024 03:45:00,0.00,687.00,1280.29,12.70,18.10
03/05/2024 03:30:00,0.00,686.00,1275.59,12.70,18.10
03/05/2024 03:15:00,0.00,680.00,1247.54,12.70,18.10
03/05/2024 03:00:00,0.00,681.00,1252.20,12.70,18.10
03/05/2024 02:45:00,0.00,675.00,1224.40,12.70,18.10
03/05/2024 02:30:00,0.00,671.00,1206.04,12.70,18.10
03/05/2024 02:15:00,0.00,669.00,1196.90,12.70,18.20
03/05/2024 02:00:00,0.00,669.00,1196.90,12.70,18.20
03/05/2024 01:45:00,0.00,669.00,1196.90,12.70,18.20
03/05/2024 01:30:00,0.00,669.00,1196.90,12.70,18.20
03/05/2024 01:15:00,0.00,665.00,1178.74,12.70,18.50
03/05/2024 01:00:00,0.00,663.00,1169.71,12.70,18.50
03/05/2024 00:45:00,0.20,661.00,1160.71,12.70,18.50
03/05/2024 00:30:00,0.00,661.00,1160.71,12.70,18.50
03/05/2024 00:15:00,0.00,660.00,1156.22,12.70,18.70
03/05/2024 00:00:00,0.00,655.00,1133.91,12.70,18.70
02/05/2024 23:45:00,0.20,653.00,1125.05,12.70,18.70
02/05/2024 23:30:00,0.00,651.00,1116.22,12.70,18.70
02/05/2024 23:15:00,0.00,651.00,1116.22,12.70,19.00
02/05/2024 23:00:00,0.00,648.00,1103.03,12.70,19.00
02/05/2024 22:45:00,0.00,647.00,1098.65,12.70,19.00
02/05/2024 22:30:00,0.00,646.00,1094.28,12.70,19.00
02/05/2024 22:15:00,0.00,644.00,1085.57,12.70,19.10
02/05/2024 22:00:00,0.00,641.00,1072.56,12.70,19.10
02/05/2024 21:45:00,0.00,640.00,1068.24,12.70,19.10
02/05/2024 21:30:00,0.00,638.00,1059.62,12.70,19.10
02/05/2024 21:15:00,0.00,637.00,1055.33,12.80,19.30
02/05/2024 21:00:00,0.00,635.00,1046.76,12.80,19.30
02/05/2024 20:45:00,0.00,633.00,1038.23,12.80,19.30
02/05/2024 20:30:00,0.00,631.00,1029.74,12.80,19.30
02/05/2024 20:15:00,0.00,630.00,1025.50,12.80,19.80
02/05/2024 20:00:00,0.00,628.00,1017.05,12.80,19.80
02/05/2024 19:45:00,0.20,626.00,1008.64,12.80,19.80
02/05/2024 19:30:00,0.00,625.00,1004.45,12.80,19.80
02/05/2024 19:15:00,0.00,623.00,996.08,12.80,20.30
02/05/2024 19:00:00,0.00,622.00,991.91,12.80,20.30
02/05/2024 18:45:00,0.20,620.00,983.60,12.80,20.30
02/05/2024 18:30:00,0.00,618.00,975.32,12.80,20.30
02/05/2024 18:15:00,0.00,616.00,967.08,12.80,20.60
02/05/2024 18:00:00,0.40,614.00,958.87,12.80,20.60
02/05/2024 17:45:00,0.40,613.00,954.77,12.80,20.60
02/05/2024 17:30:00,0.80,611.00,946.61,12.80,20.60
02/05/2024 17:15:00,0.00,609.00,938.48,12.90,20.80
02/05/2024 17:00:00,0.60,607.00,930.39,12.90,20.80
02/05/2024 16:45:00,0.00,605.00,922.33,12.90,20.80
02/05/2024 16:30:00,0.00,604.00,918.31,12.90,20.80
02/05/2024 16:15:00,0.20,602.00,910.30,12.90,20.90
02/05/2024 16:00:00,0.20,600.00,902.32,12.90,20.90
02/05/2024 15:45:00,2.40,598.00,894.38,12.90,20.90
02/05/2024 15:30:00,0.40,596.00,886.47,12.90,20.90
02/05/2024 15:15:00,0.60,594.00,878.60,13.00,21.10
02/05/2024 15:00:00,0.40,592.00,870.76,13.00,21.10
02/05/2024 14:45:00,0.00,590.00,862.95,13.00,21.10
02/05/2024 14:30:00,0.20,589.00,859.06,13.00,21.10
02/05/2024 14:15:00,0.80,587.00,851.30,13.00,21.10
02/05/2024 14:00:00,0.20,585.00,843.58,13.00,21.10
02/05/2024 13:45:00,0.80,583.00,835.89,13.00,21.10
02/05/2024 13:30:00,1.20,581.00,828.23,13.00,21.10
02/05/2024 13:15:00,0.60,580.00,824.42,13.00,21.20
02/05/2024 13:00:00,0.60,578.00,816.81,13.00,21.20
02/05/2024 12:45:00,0.00,576.00,809.24,13.00,21.20
02/05/2024 12:30:00,0.00,575.00,805.47,13.00,21.20
02/05/2024 12:15:00,0.00,573.00,797.95,13.10,21.10
02/05/2024 12:00:00,0.00,571.00,790.46,13.10,21.10
02/05/2024 11:45:00,0.00,569.00,783.01,13.10,21.10
02/05/2024 11:30:00,0.00,568.00,779.29,13.10,21.10
02/05/2024 11:15:00,0.00,566.00,771.89,12.90,20.80
02/05/2024 11:00:00,0.00,565.00,768.20,12.90,20.80
02/05/2024 10:45:00,0.20,563.00,760.85,12.90,20.80
02/05/2024 10:30:00,0.20,561.00,753.54,12.90,20.80
02/05/2024 10:15:00,0.60,560.00,749.89,12.80,20.70
02/05/2024 10:00:00,0.40,558.00,742.62,12.80,20.70
02/05/2024 09:45:00,0.60,557.00,739.00,12.80,20.70
02/05/2024 09:30:00,0.20,555.00,731.79,12.80,20.70
02/05/2024 09:15:00,0.20,554.00,728.19,12.80,20.70
02/05/2024 09:00:00,0.20,553.00,724.61,12.80,20.70
02/05/2024 08:45:00,0.40,551.00,717.46,12.80,20.70
02/05/2024 08:30:00,0.20,550.00,713.90,12.80,20.70
02/05/2024 08:15:00,0.00,548.00,706.80,12.80,20.60
02/05/2024 08:00:00,0.00,547.00,703.27,12.80,20.60
02/05/2024 07:45:00,0.00,545.00,696.22,12.80,20.60
02/05/2024 07:30:00,0.00,544.00,692.71,12.80,20.60
02/05/2024 07:15:00,0.00,543.00,689.21,12.80,20.60
02/05/2024 07:00:00,0.00,542.00,685.72,12.80,20.60
02/05/2024 06:45:00,0.00,541.00,682.24,12.80,20.60
02/05/2024 06:30:00,0.00,540.00,678.76,12.80,20.60
02/05/2024 06:15:00,0.00,539.00,675.29,12.80,20.60
02/05/2024 06:00:00,0.00,537.00,668.38,12.80,20.60
02/05/2024 05:45:00,0.20,535.00,661.51,12.80,20.60
02/05/2024 05:30:00,0.20,534.00,658.08,12.80,20.60
02/05/2024 05:15:00,0.40,533.00,654.67,12.80,20.50
02/05/2024 05:00:00,0.60,532.00,651.26,12.80,20.50
02/05/2024 04:45:00,0.60,530.00,644.47,12.80,20.50
02/05/2024 04:30:00,0.80,529.00,641.09,12.80,20.50
02/05/2024 04:15:00,0.80,528.00,637.72,12.80,20.40
02/05/2024 04:00:00,1.40,526.00,631.00,12.80,20.40
02/05/2024 03:45:00,1.80,525.00,627.65,12.80,20.40
02/05/2024 03:30:00,1.00,523.00,620.98,12.80,20.40
02/05/2024 03:15:00,1.20,522.00,617.66,12.80,20.40
