Qualidade dos Dados:      Aprovado         Suspeito         Reprovado         Fora do Limite         Não Verificado              Régua Seca         Régua Coberta         Rio Seco         Rio Cortado        Temperatura Interna / Status da Bateria:        Normal           Atenção           Crítico         Não Verificado,,,,,
Estação: 5 - 87450004 - CAIS MAUÁ C6,,,,,
Data/Hora,Chuva Horária (mm),Nível adotado (cm),Vazão (m³/s),Bateria (V),Temp. Interna (ºC)
03/05/2024 18:00:00,,469.00,,,
03/05/2024 17:45:00,,468.00,,,
03/05/2024 17:15:00,0.00,,,12.90,20.40
03/05/2024 17:00:00,,463.00,,12.90,20.40
03/05/2024 16:45:00,0.00,,,12.90,20.40
03/05/2024 16:30:00,0.00,,,12.90,20.40
03/05/2024 16:15:00,0.00,,,13.10,20.40
03/05/2024 16:00:00,0.00,458.00,,13.10,20.40
03/05/2024 15:45:00,0.00,,,13.10,20.40
03/05/2024 15:30:00,0.20,,,13.10,20.40
03/05/2024 15:15:00,0.00,,,13.30,20.30
03/05/2024 15:00:00,0.00,458.00,,13.30,20.30
03/05/2024 14:45:00,0.00,,,13.30,20.30
03/05/2024 14:30:00,0.00,,,13.30,20.30
03/05/2024 14:15:00,0.00,,,13.30,20.20
03/05/2024 14:00:00,0.00,,,13.30,20.20
03/05/2024 13:45:00,0.00,,,13.30,20.20
03/05/2024 13:30:00,0.00,,,13.30,20.20
03/05/2024 13:15:00,0.00,,,13.20,20.00
03/05/2024 13:00:00,0.00,,,13.20,20.00
03/05/2024 12:45:00,0.00,,,13.20,20.00
03/05/2024 12:30:00,0.00,,,13.20,20.00
03/05/2024 12:15:00,0.00,,,13.30,19.80
03/05/2024 12:00:00,0.00,,,13.30,19.80
03/05/2024 11:45:00,0.00,,,13.30,19.80
03/05/2024 11:30:00,0.00,,,13.30,19.80
03/05/2024 11:15:00,0.00,,,13.20,19.60
03/05/2024 11:00:00,0.00,,,13.20,19.60
03/05/2024 10:45:00,0.00,,,13.20,19.60
03/05/2024 10:30:00,0.00,,,13.20,19.60
03/05/2024 10:15:00,0.00,,,13.00,19.20
