datahora,observed,predicted1h,predicted6h,predicted12h,predicted24h
2024-04-28 12:00:00,132.0,,,,
2024-04-28 13:00:00,132.0,131.14,,,
2024-04-28 14:00:00,132.0,131.86,,,
2024-04-28 15:00:00,131.0,132.05,,,
2024-04-28 16:00:00,131.0,132.2,,,
2024-04-28 17:00:00,132.0,130.84,,,
2024-04-28 18:00:00,131.0,131.1,130.75,,
2024-04-28 19:00:00,131.0,132.53,133.03,,
2024-04-28 20:00:00,130.0,130.76,133.77,,
2024-04-28 21:00:00,130.0,131.32,134.07,,
2024-04-28 22:00:00,130.0,129.54,131.65,,
2024-04-28 23:00:00,131.0,129.86,132.17,,
2024-04-29 00:00:00,131.0,130.04,134.42,132.8,
2024-04-29 01:00:00,130.0,131.43,131.22,134.74,
2024-04-29 02:00:00,129.0,131.15,131.82,135.08,
2024-04-29 03:00:00,128.0,129.58,128.81,134.98,
2024-04-29 04:00:00,128.0,128.67,129.9,132.56,
2024-04-29 05:00:00,127.0,127.39,130.31,132.93,
2024-04-29 06:00:00,125.0,127.86,132.58,134.7,
2024-04-29 07:00:00,124.0,126.55,131.79,131.51,
2024-04-29 08:00:00,123.0,124.07,129.25,132.05,
2024-04-29 09:00:00,122.0,123.34,127.82,129.4,
2024-04-29 10:00:00,121.0,122.18,126.21,130.43,
2024-04-29 11:00:00,121.0,121.5,127.62,130.76,
2024-04-29 12:00:00,120.0,120.58,125.78,132.68,132.61
2024-04-29 13:00:00,120.0,120.91,122.35,131.71,133.94
2024-04-29 14:00:00,121.0,119.54,122.22,129.38,134.15
2024-04-29 15:00:00,121.0,120.11,121.61,128.3,134.07
2024-04-29 16:00:00,119.0,121.63,121.54,127.08,132.13
2024-04-29 17:00:00,119.0,121.15,120.71,128.47,132.38
2024-04-29 18:00:00,116.0,118.53,121.97,126.84,133.85
2024-04-29 19:00:00,115.0,119.14,120.33,123.91,131.4
2024-04-29 20:00:00,115.0,114.57,121.72,124.09,131.78
2024-04-29 21:00:00,113.0,114.45,124.07,123.64,129.64
2024-04-29 22:00:00,113.0,114.86,123.04,123.51,130.35
2024-04-29 23:00:00,112.0,111.87,118.39,122.72,130.57
2024-04-30 00:00:00,112.0,112.98,119.37,123.73,132.12
2024-04-30 01:00:00,114.0,111.34,112.28,121.96,131.44
