datahora,observed,predicted1h,predicted6h,predicted12h,predicted24h
2024-04-28 12:00:00,132.0,,,,
2024-04-28 13:00:00,132.0,131.09,,,
2024-04-28 14:00:00,132.0,131.84,,,
2024-04-28 15:00:00,131.0,130.97,,,
2024-04-28 16:00:00,131.0,132.91,,,
2024-04-28 17:00:00,132.0,132.43,,,
2024-04-28 18:00:00,131.0,130.34,131.19,,
2024-04-28 19:00:00,131.0,133.58,134.69,,
2024-04-28 20:00:00,130.0,132.83,138.33,,
2024-04-28 21:00:00,130.0,129.09,140.22,,
2024-04-28 22:00:00,130.0,129.3,135.65,,
2024-04-28 23:00:00,131.0,131.73,134.6,,
2024-04-29 00:00:00,131.0,130.95,140.31,139.4,
2024-04-29 01:00:00,130.0,131.14,134.78,142.01,
2024-04-29 02:00:00,129.0,130.54,130.43,142.42,
2024-04-29 03:00:00,128.0,128.72,131.8,144.41,
2024-04-29 04:00:00,128.0,129.23,133.8,140.15,
2024-04-29 05:00:00,127.0,128.15,130.67,137.49,
2024-04-29 06:00:00,125.0,127.6,130.81,141.65,
2024-04-29 07:00:00,124.0,127.23,131.31,136.24,
2024-04-29 08:00:00,123.0,126.07,132.57,134.31,
2024-04-29 09:00:00,122.0,121.88,132.79,136.13,
2024-04-29 10:00:00,121.0,121.79,129.56,137.47,
2024-04-29 11:00:00,121.0,122.09,130.11,134.24,
2024-04-29 12:00:00,120.0,121.16,129.77,135.45,146.44
2024-04-29 13:00:00,120.0,120.68,124.59,135.16,149.04
2024-04-29 14:00:00,121.0,119.11,119.47,133.7,149.47
2024-04-29 15:00:00,121.0,119.56,121.62,134.14,152.13
2024-04-29 16:00:00,119.0,121.6,122.18,131.25,147.17
2024-04-29 17:00:00,119.0,122.02,120.59,131.83,144.27
2024-04-29 18:00:00,116.0,118.07,120.18,130.43,149.03
2024-04-29 19:00:00,115.0,118.86,118.57,124.99,142.29
2024-04-29 20:00:00,115.0,116.75,123.14,122.46,140.26
2024-04-29 21:00:00,113.0,112.06,125.43,124.1,141.75
2024-04-29 22:00:00,113.0,114.89,123.91,124.4,143.54
2024-04-29 23:00:00,112.0,113.71,118.99,123.83,141.16
2024-04-30 00:00:00,112.0,114.67,123.45,125.92,143.93
2024-04-30 01:00:00,114.0,111.27,117.49,124.99,144.39
2024-04-30 02:00:00,119.0,110.99,113.26,127.15,142.87
2024-04-30 03:00:00,131.0,114.43,119.89,130.71,143.5
2024-04-30 04:00:00,137.0,121.28,115.74,129.43,140.31
2024-04-30 05:00:00,139.0,137.3,114.4,122.41,140.66
2024-04-30 06:00:00,139.0,140.8,107.92,124.49,138.85
2024-04-30 07:00:00,137.0,140.69,108.17,116.26,131.81
2024-04-30 08:00:00,135.0,141.64,116.06,112.93,127.48
2024-04-30 09:00:00,136.0,134.3,125.8,119.03,129.38
2024-04-30 10:00:00,134.0,133.57,148.21,113.8,129.59
2024-04-30 11:00:00,136.0,137.38,149.51,113.32,128.12
2024-04-30 12:00:00,135.0,133.83,147.23,108.38,129.68
2024-04-30 13:00:00,136.0,136.85,143.75,110.61,128.35
2024-04-30 14:00:00,137.0,134.46,133.16,118.24,130.83
2024-04-30 15:00:00,141.0,136.72,135.3,130.17,134.92
2024-04-30 16:00:00,143.0,138.65,142.19,155.33,133.05
2024-04-30 17:00:00,144.0,142.19,134.55,154.68,124.03
2024-04-30 18:00:00,146.0,144.36,139.56,150.46,126.48
2024-04-30 19:00:00,149.0,143.0,133.53,144.57,116.65
2024-04-30 20:00:00,151.0,147.15,136.18,132.4,111.33
2024-04-30 21:00:00,154.0,150.01,135.99,133.23,118.7
2024-04-30 22:00:00,156.0,152.08,140.71,138.35,112.5
2024-04-30 23:00:00,160.0,155.82,142.12,129.56,110.37
2024-05-01 00:00:00,160.0,157.69,141.49,134.85,103.02
2024-05-01 01:00:00,163.0,161.84,148.17,130.06,104.94
2024-05-01 02:00:00,165.0,161.1,153.07,134.23,113.6
